No,Grade,DL,DH,WL,WH,Stable,EasyToControl,StressReduce,Problem,method
9,2,0,2,1,4,0,2,1,0,1
12,3,0,2,1,5,0,1,0,0,1
14,4,1,0,7,1,0,0,0,0,1
11,4,1,2,2,5,0,0,1,0,2
17,3,1,2,5,6,0,0,0,0,2
19,3,0,2,1,5,0,0,1,0,2
7,3,1,0,6,1,0,0,1,0,3
15,2,2,0,1,5,0,0,0,0,3
13,3,1,2,1,5,0,0,0,1,0
10,4,2,0,5,6,0,1,1,1,1
1,1,0,1,1,6,0,1,1,1,1
16,2,2,0,5,6,0,0,0,2,0
6,3,2,1,1,6,1,1,1,2,1
20,3,2,0,5,1,1,2,1,2,1
3,1,1,2,3,6,0,0,0,3,0
2,3,0,2,2,1,0,0,0,3,1
18,3,1,1,7,6,0,0,1,4,0
8,3,0,1,3,4,0,0,1,4,0
4,3,2,0,1,6,0,0,1,4,1
5,1,0,2,1,1,0,0,0,4,2
